
//1
Position	Likelihood	Alpha
700.0000	4.637328e-03	2.763840e+02
130585.6172	3.781283e-01	8.490200e-04
260471.2344	3.602315e-02	4.691340e-03
390356.8516	7.618749e-01	5.377668e-04
520242.4688	2.979971e-08	1.411765e-01
650128.0859	3.552965e-03	7.790821e-03
780013.7031	4.637359e-03	1.727400e-02
909899.3203	4.253826e+00	7.375613e-04
1039784.9375	1.434910e-01	2.420894e-01
1169670.5547	6.559385e-01	2.042566e-04
1299556.1719	4.616036e-03	1.570364e-02
1429441.7891	1.201247e+00	7.022539e-04
1559327.4062	2.979971e-08	8.053689e-02
1689213.0234	1.094969e+02	1.883665e-05
1819098.6406	4.293416e-01	1.397587e-02
1948984.2578	5.021319e-02	2.523420e-02
2078869.8750	5.507334e+01	3.898437e-05
2208755.4922	1.144489e+00	4.261386e-02
2338641.1094	2.302333e+00	7.804450e-04
2468526.7266	2.979971e-08	4.040404e-02
2598412.3438	2.658540e-01	3.858821e-03
2728297.9609	3.845868e+00	7.181788e-04
2858183.5781	4.667727e-03	2.583029e-02
2988069.1953	2.381270e+01	9.115400e-05
3117954.8125	1.478945e-01	1.067407e-02
3247840.4297	1.250476e+01	6.075031e-05
3377726.0469	2.357342e-01	2.195076e-03
3507611.6641	5.990440e-03	5.969418e-03
3637497.2812	1.313880e-01	4.377701e-03
3767382.8984	8.645385e-01	5.664031e-04
3897268.5156	2.496611e+00	6.189416e-03
4027154.1328	2.268149e-01	2.979839e-03
4157039.7500	9.165146e+00	1.296548e-04
4286925.3672	2.234440e-02	2.611935e-01
4416810.9844	4.583913e-01	8.078495e-04
4546696.6016	3.850608e-01	1.203162e-01
4676582.2188	7.178143e-02	1.327054e-01
4806467.8359	4.594046e-02	3.264919e-03
4936353.4531	1.001400e+02	3.582842e-05
5066239.0703	5.372907e-02	2.693018e-03
5196124.6875	4.524521e-03	3.370538e-02
5326010.3047	9.586425e-01	4.768796e-04
5455895.9219	5.918320e+00	2.346044e-04
5585781.5391	2.882272e-01	2.043677e-03
5715667.1562	9.171611e-01	9.510451e-03
5845552.7734	2.234440e-02	6.965160e-01
5975438.3906	2.979971e-08	1.919999e-02
6105324.0078	4.293685e-01	7.479418e-03
6235209.6250	4.637285e-03	1.535467e-01
6365095.2422	2.979971e-08	4.651161e-02
6494980.8594	7.172421e-02	2.720612e-03
6624866.4766	8.677557e-08	2.752293e-02
6754752.0938	7.054610e+00	1.502137e-04
6884637.7109	2.979971e-08	7.499998e-01
7014523.3281	4.614641e-01	6.897138e-04
7144408.9453	2.979971e-08	1.379310e-01
7274294.5625	1.285241e-02	4.545385e-03
7404180.1797	8.496939e-01	6.425951e-04
7534065.7969	6.147065e+00	1.146267e-04
7663951.4141	1.187991e-01	2.435065e-03
7793837.0312	1.518455e+00	5.281671e-04
7923722.6484	1.490470e-01	6.675445e-03
8053608.2656	2.552530e+01	1.131228e-04
8183493.8828	1.434910e-01	1.513059e-02
8313379.5000	9.203164e-02	1.361864e-02
8443265.1172	3.094117e-01	8.519665e-04
8573150.7344	2.979971e-08	1.846154e-01
8703036.3516	5.022209e-01	2.168861e-03
8832921.9688	2.979971e-08	1.714285e+00
8962807.5859	7.377606e-01	1.328991e-03
9092693.2031	1.944414e-02	3.876819e-03
9222578.8203	2.341883e-02	5.928240e-03
9352464.4375	1.809876e-01	3.452410e-03
9482350.0547	8.509549e-01	4.413705e-04
9612235.6719	1.436131e-01	2.151906e-02
9742121.2891	7.753744e-01	1.106545e-03
9872006.9062	1.106967e+00	2.770378e-02
10001892.5234	1.775694e+00	1.647433e-04
10131778.1406	4.041326e-02	1.619805e-02
10261663.7578	1.476150e-01	2.482968e-02
10391549.3750	7.500313e+01	6.112321e-05
10521434.9922	1.123592e-01	3.350253e-02
10651320.6094	5.664185e-02	3.397640e-03
10781206.2266	1.326227e+02	1.567672e-05
10911091.8438	2.559960e-05	2.554485e-02
11040977.4609	4.628053e-03	2.489947e-02
11170863.0781	2.979971e-08	1.000000e-01
11300748.6953	1.539189e-01	2.871475e-02
11430634.3125	7.178308e-02	9.187298e-02
11560519.9297	1.756331e-01	5.772231e-03
11690405.5469	1.049154e+00	2.516434e-03
11820291.1641	2.979971e-08	5.999998e-01
11950176.7812	2.979971e-08	6.217616e-02
12080062.3984	1.552030e+01	3.712371e-05
12209948.0156	1.286411e-01	9.687489e-04
12339833.6328	1.092788e+00	5.395467e-04
12469719.2500	3.738294e-02	5.457819e-03
12599604.8672	2.979971e-08	8.275861e-02
